date	open	high	low	close	volume
2000-12-26	1242.05	1248.5	1207.95	1212.0	
2000-12-27	1212.15	1239.0	1208.75	1228.3	
2000-12-28	1229.35	1253.6	1229.35	1248.95	
2000-12-29	1249.0	1265.9	1242.25	1263.55	
2001-01-01	1263.5	1276.15	1250.65	1254.3	
2001-01-02	1254.25	1279.6	1248.55	1271.8	
2001-01-03	1271.8	1293.55	1263.95	1291.25	
2001-01-04	1291.3	1331.35	1291.3	1307.65	
2001-01-05	1307.55	1330.3	1306.25	1327.25	
2001-01-08	1327.35	1334.2	1303.35	1309.25	
2001-01-09	1309.2	1323.4	1304.9	1311.65	
2001-01-10	1311.65	1324.35	1285.3	1287.3	
2001-01-11	1287.5	1296.75	1275.95	1280.4	
2001-01-12	1280.45	1298.85	1279.4	1286.75	
2001-01-15	1286.85	1295.2	1277.85	1286.75	
2001-01-16	1287.0	1302.6	1279.85	1293.05	
2001-01-17	1299.4	1312.35	1295.3	1297.9	
2001-01-18	1297.95	1309.95	1297.95	1305.95	
2001-01-19	1306.0	1333.5	1306.0	1329.1	
2001-01-22	1329.3	1351.85	1329.3	1348.0	
2001-01-23	1347.95	1362.05	1346.5	1355.2	
2001-01-24	1355.35	1371.1	1355.35	1365.95	
2001-01-25	1366.05	1374.2	1353.5	1370.1	
2001-01-29	1368.55	1368.55	1312.1	1342.05	
2001-01-30	1342.1	1382.55	1342.05	1379.7	
2001-01-31	1385.85	1396.05	1369.0	1371.7	
2001-02-01	1371.5	1373.5	1340.95	1359.15	
2001-02-02	1359.1	1384.9	1355.3	1378.85	
2001-02-05	1378.8	1392.15	1373.45	1382.6	
2001-02-06	1382.7	1395.4	1382.7	1387.1	
2001-02-07	1387.3	1391.85	1368.05	1370.8	
2001-02-08	1370.65	1396.8	1365.05	1395.5	
2001-02-09	1395.55	1416.3	1395.55	1405.7	
2001-02-12	1405.7	1416.45	1397.6	1402.2	
2001-02-13	1402.2	1412.7	1386.65	1391.2	
2001-02-14	1393.15	1396.35	1380.65	1393.35	
2001-02-15	1393.35	1421.0	1393.35	1416.7	
2001-02-16	1415.85	1422.95	1376.15	1381.35	
2001-02-19	1381.4	1392.05	1369.45	1384.8	
2001-02-20	1384.85	1392.8	1380.4	1383.85	
2001-02-21	1383.9	1389.55	1364.25	1370.1	
2001-02-22	1370.05	1370.05	1335.65	1355.1	
2001-02-23	1355.1	1362.8	1314.1	1320.45	
2001-02-26	1320.9	1325.2	1299.05	1312.4	
2001-02-27	1312.45	1324.0	1281.9	1295.55	
2001-02-28	1295.3	1362.25	1294.6	1351.4	
2001-03-01	1351.75	1399.55	1345.05	1358.05	
2001-03-02	1360.25	1386.75	1301.8	1306.35	
2001-03-05	1304.85	1316.45	1259.1	1271.45	
2001-03-07	1272.8	1311.1	1249.45	1290.5	
2001-03-08	1290.85	1307.95	1279.3	1292.85	
2001-03-09	1292.7	1292.7	1219.35	1254.75	
2001-03-12	1253.25	1253.25	1193.95	1197.95	
2001-03-13	1197.85	1201.15	1098.75	1124.7	
2001-03-14	1125.15	1200.25	1114.6	1194.2	
2001-03-15	1191.6	1219.7	1170.7	1217.15	
2001-03-16	1216.9	1233.4	1179.6	1193.55	
2001-03-19	1192.85	1201.7	1173.15	1186.7	
2001-03-20	1186.8	1193.35	1162.35	1170.95	
2001-03-21	1168.8	1212.2	1156.15	1207.1	
2001-03-22	1206.45	1218.35	1184.95	1187.55	
2001-03-23	1187.6	1196.55	1139.65	1161.3	
2001-03-26	1159.85	1165.65	1147.5	1161.5	
2001-03-27	1161.6	1182.7	1157.25	1177.75	
2001-03-28	1177.55	1209.6	1177.55	1206.2	
2001-03-29	1204.9	1210.1	1185.0	1195.1	
2001-03-30	1195.05	1195.25	1144.65	1148.2	
2001-04-02	1148.1	1148.1	1094.35	1138.1	
2001-04-03	1136.65	1153.1	1128.1	1149.25	
2001-04-04	1146.1	1146.15	1120.35	1136.65	
2001-04-06	1137.55	1171.85	1133.05	1139.6	
2001-04-09	1137.6	1138.55	1116.1	1128.35	
2001-04-10	1129.1	1129.75	1093.05	1103.05	
2001-04-11	1104.9	1116.85	1056.1	1066.8	
2001-04-12	1066.75	1066.75	1001.8	1024.9	
2001-04-16	1024.0	1049.4	1000.1	1044.6	
2001-04-17	1044.85	1072.9	1037.7	1067.0	
2001-04-18	1066.5	1106.3	1063.05	1103.4	
2001-04-19	1103.6	1159.3	1103.6	1144.45	
2001-04-20	1145.75	1156.45	1120.6	1144.0	
2001-04-23	1144.05	1162.05	1137.3	1149.75	
2001-04-24	1149.6	1149.6	1128.4	1146.3	
2001-04-25	1146.5	1162.85	1142.3	1155.35	
2001-04-26	1155.4	1170.2	1138.85	1143.75	
2001-04-27	1143.65	1143.65	1078.1	1101.3	
2001-04-30	1101.45	1127.9	1101.45	1125.25	
2001-05-02	1125.45	1150.65	1125.25	1137.2	
2001-05-03	1137.15	1139.85	1117.7	1122.05	
2001-05-04	1121.45	1131.95	1113.65	1130.05	
2001-05-07	1130.05	1145.4	1130.05	1139.2	
2001-05-08	1139.25	1151.95	1138.2	1148.95	
2001-05-09	1149.9	1164.3	1145.25	1149.25	
2001-05-10	1149.1	1151.6	1139.25	1144.95	
2001-05-11	1144.1	1146.85	1136.9	1140.5	
2001-05-14	1140.45	1146.25	1134.05	1140.8	
2001-05-15	1140.75	1147.75	1096.25	1145.3	
2001-05-16	1147.1	1163.15	1146.05	1151.15	
2001-05-17	1151.2	1179.0	1150.6	1174.95	
2001-05-18	1175.0	1187.65	1169.2	1172.8	
2001-05-21	1172.95	1182.65	1166.7	1169.45	
2001-05-22	1169.5	1176.2	1165.65	1168.1	
2001-05-23	1168.25	1181.8	1167.0	1179.1	
2001-05-24	1179.1	1190.15	1177.55	1181.85	
2001-05-25	1181.95	1188.5	1171.35	1174.9	
2001-05-28	1174.95	1194.5	1174.45	1193.2	
2001-05-29	1193.25	1202.05	1193.25	1198.45	
2001-05-30	1199.5	1207.0	1173.75	1177.55	
2001-05-31	1177.5	1177.5	1154.9	1167.9	
2001-06-01	1168.1	1175.8	1146.9	1148.05	
2001-06-04	1148.0	1154.45	1125.35	1127.2	
2001-06-05	1127.15	1130.65	1106.8	1115.6	
2001-06-06	1117.5	1132.95	1114.0	1115.7	
2001-06-07	1115.05	1116.1	1095.45	1112.35	
2001-06-08	1112.45	1128.9	1112.45	1126.6	
2001-06-11	1126.55	1134.8	1122.35	1131.1	
2001-06-12	1131.05	1133.3	1121.8	1127.15	
2001-06-13	1127.1	1132.95	1126.9	1129.0	
2001-06-14	1128.95	1128.95	1110.15	1112.75	
2001-06-15	1112.7	1112.7	1084.2	1087.75	
2001-06-18	1087.75	1087.75	1064.4	1078.3	
2001-06-19	1078.25	1099.7	1075.45	1096.65	
2001-06-20	1096.35	1100.55	1084.7	1097.6	
2001-06-21	1097.9	1102.45	1090.25	1095.2	
2001-06-22	1095.85	1097.8	1081.3	1087.65	
2001-06-25	1087.1	1087.1	1064.4	1067.0	
2001-06-26	1066.4	1099.8	1060.05	1096.6	
2001-06-27	1096.6	1102.8	1086.75	1096.1	
2001-06-28	1095.85	1101.0	1090.2	1094.0	
2001-06-29	1094.05	1114.35	1091.05	1107.9	
2001-07-02	1108.35	1119.55	1097.95	1100.75	
2001-07-03	1097.4	1097.4	1066.05	1069.8	
2001-07-04	1068.05	1074.6	1062.2	1067.95	
2001-07-05	1068.35	1079.35	1066.95	1069.75	
2001-07-06	1069.15	1069.15	1059.6	1065.1	
2001-07-09	1064.8	1064.8	1052.1	1059.5	
2001-07-10	1059.95	1078.1	1059.25	1072.05	
2001-07-11	1072.15	1088.5	1068.35	1083.65	
2001-07-12	1083.8	1109.0	1083.8	1105.5	
2001-07-13	1105.7	1127.15	1103.3	1110.45	
2001-07-16	1110.35	1116.7	1102.45	1105.55	
2001-07-17	1103.55	1106.05	1092.5	1103.1	
2001-07-18	1103.1	1108.45	1088.1	1091.95	
2001-07-19	1091.35	1091.35	1079.55	1085.9	
2001-07-20	1085.95	1089.95	1072.75	1077.7	
2001-07-23	1076.15	1076.15	1063.4	1070.65	
2001-07-24	1065.95	1074.75	1064.5	1072.55	
2001-07-25	1072.45	1073.95	1062.15	1064.2	
2001-07-26	1063.9	1066.55	1050.15	1053.4	
2001-07-27	1053.2	1061.2	1046.9	1051.7	
2001-07-30	1051.45	1062.8	1050.9	1061.45	
2001-07-31	1061.45	1076.35	1053.6	1072.85	
2001-08-01	1073.0	1077.7	1059.75	1063.15	
2001-08-02	1064.25	1070.05	1059.55	1066.0	
2001-08-03	1066.4	1077.55	1066.2	1074.6	
2001-08-06	1074.2	1082.4	1072.55	1075.25	
2001-08-07	1074.35	1079.3	1070.2	1072.1	
2001-08-08	1071.75	1072.1	1059.55	1068.0	
2001-08-09	1068.1	1072.6	1061.4	1070.65	
2001-08-10	1070.65	1076.7	1069.05	1071.15	
2001-08-13	1070.95	1081.4	1061.05	1063.0	
2001-08-14	1063.05	1076.6	1062.2	1075.5	
2001-08-16	1075.2	1083.7	1072.95	1078.95	
2001-08-17	1079.0	1084.0	1067.6	1069.2	
2001-08-20	1062.5	1067.95	1061.0	1063.75	
2001-08-21	1063.65	1071.2	1062.3	1068.7	
2001-08-23	1068.7	1079.0	1065.7	1071.5	
2001-08-24	1071.5	1076.7	1064.9	1069.15	
2001-08-27	1064.05	1078.35	1064.05	1072.55	
2001-08-28	1072.35	1076.85	1069.6	1070.65	
2001-08-29	1070.55	1074.5	1066.45	1067.45	
2001-08-30	1068.3	1070.25	1061.9	1064.15	
2001-08-31	1064.1	1064.1	1051.75	1053.75	
2001-09-03	1054.65	1059.9	1046.35	1048.05	
2001-09-04	1048.2	1053.25	1043.3	1048.2	
2001-09-05	1047.25	1051.55	1043.3	1045.0	
2001-09-06	1047.7	1048.2	1033.4	1036.1	
2001-09-07	1036.35	1037.35	1026.45	1035.2	
2001-09-10	1035.0	1045.3	1031.45	1033.4	
2001-09-11	1033.35	1037.45	1020.7	1023.4	
2001-09-12	1023.25	1023.25	957.95	982.2	
2001-09-13	982.2	993.05	969.0	971.7	
2001-09-14	972.05	974.5	902.7	919.7	
2001-09-17	916.15	916.15	861.05	872.25	
2001-09-18	872.15	910.35	868.5	900.2	
2001-09-19	899.7	915.0	899.7	912.2	
2001-09-20	910.2	910.35	873.7	898.8	
2001-09-21	903.75	903.75	849.95	854.2	
2001-09-24	853.0	878.6	853.0	869.05	
2001-09-25	869.15	893.35	858.85	861.4	
2001-09-26	861.35	877.0	859.2	873.7	
2001-09-27	873.15	893.05	868.3	890.0	
2001-09-28	891.75	922.55	891.0	913.85	
2001-10-01	914.65	919.2	905.5	910.1	
2001-10-03	910.05	915.05	896.25	899.65	
2001-10-04	899.65	914.25	899.65	911.65	
2001-10-05	911.6	919.75	903.05	914.6	
2001-10-08	911.2	913.05	884.65	901.95	
2001-10-09	903.0	914.3	902.55	912.7	
2001-10-10	915.5	942.8	912.9	940.35	
2001-10-11	940.45	959.75	940.45	954.9	
2001-10-12	958.4	969.9	956.85	960.4	
2001-10-15	963.65	966.15	954.35	963.4	
2001-10-16	963.4	973.25	962.5	971.25	
2001-10-17	971.95	989.05	971.95	986.25	
2001-10-18	984.2	984.5	969.35	972.05	
2001-10-19	972.2	981.0	970.85	976.65	
2001-10-22	980.05	994.15	973.2	976.4	
2001-10-23	976.75	994.15	976.55	993.2	
2001-10-24	992.95	1000.95	987.4	991.2	
2001-10-25	991.25	998.0	979.95	983.2	
2001-10-29	983.15	996.6	974.05	977.45	
2001-10-30	977.35	977.35	960.5	963.1	
2001-10-31	962.85	976.4	959.35	971.9	
2001-11-01	973.55	997.3	973.55	994.0	
2001-11-02	994.25	1009.55	991.95	997.6	
2001-11-05	997.25	1001.3	987.85	991.05	
2001-11-06	991.2	1007.4	991.15	1001.9	
2001-11-07	1001.95	1014.1	984.45	987.5	
2001-11-08	987.5	1001.15	985.75	997.7	
2001-11-09	999.1	1008.95	999.1	1004.05	
2001-11-12	1004.55	1014.25	1003.6	1010.9	
2001-11-13	1010.95	1013.25	999.85	1005.4	
2001-11-14	1005.45	1017.2	1004.7	1015.8	
2001-11-15	1016.05	1038.35	1015.15	1035.7	
2001-11-19	1034.2	1072.0	1032.85	1068.15	
2001-11-20	1067.3	1082.4	1046.15	1050.2	
2001-11-21	1050.4	1064.85	1046.3	1056.35	
2001-11-22	1056.45	1075.9	1056.45	1062.45	
2001-11-23	1063.05	1075.05	1057.3	1059.0	
2001-11-26	1059.25	1084.65	1059.25	1080.6	
2001-11-27	1087.6	1097.6	1071.05	1076.05	
2001-11-28	1076.15	1082.3	1067.65	1070.8	
2001-11-29	1070.3	1071.0	1063.0	1067.15	
2001-12-03	1067.2	1074.5	1063.25	1065.4	
2001-12-04	1066.05	1082.6	1065.65	1077.7	
2001-12-05	1077.95	1107.15	1077.95	1104.55	
2001-12-06	1105.1	1132.65	1105.1	1110.45	
2001-12-07	1110.9	1122.65	1109.65	1112.3	
2001-12-10	1112.15	1123.55	1112.15	1115.25	
2001-12-11	1112.15	1122.85	1107.7	1110.2	
2001-12-12	1110.65	1121.55	1104.75	1107.65	
2001-12-13	1107.75	1114.15	1069.95	1098.75	
2001-12-14	1098.65	1102.9	1082.75	1087.85	
2001-12-18	1089.9	1098.0	1071.35	1082.3	
2001-12-19	1082.5	1086.35	1057.1	1060.75	
2001-12-20	1060.45	1064.8	1047.5	1062.0	
2001-12-21	1061.8	1061.8	1043.65	1050.85	
2001-12-24	1051.0	1055.0	1032.6	1048.5	
2001-12-26	1048.9	1058.3	1030.5	1034.25	
2001-12-27	1033.85	1037.7	1017.35	1020.0	
2001-12-28	1019.9	1036.35	1010.45	1033.8	
2001-12-31	1033.9	1062.3	1033.9	1059.05	
2002-01-01	1058.85	1071.15	1052.05	1055.3	
2002-01-02	1054.95	1065.25	1054.1	1060.75	
2002-01-03	1063.45	1074.85	1062.9	1072.25	
2002-01-04	1072.4	1099.25	1072.4	1096.2	
2002-01-07	1093.05	1111.55	1093.05	1100.15	
2002-01-08	1100.55	1114.55	1097.9	1109.9	
2002-01-09	1110.0	1119.4	1098.7	1102.8	
2002-01-10	1098.8	1105.35	1093.6	1098.2	
2002-01-11	1098.15	1105.9	1073.45	1088.55	
2002-01-14	1089.45	1118.5	1089.45	1109.8	
2002-01-15	1109.45	1112.6	1090.2	1094.15	
2002-01-16	1094.15	1104.8	1085.3	1090.3	
2002-01-17	1090.25	1116.05	1078.95	1109.2	
2002-01-18	1109.55	1121.75	1089.05	1093.15	
2002-01-21	1093.25	1099.8	1082.65	1091.35	
2002-01-22	1091.35	1099.0	1090.0	1092.85	
2002-01-23	1092.85	1096.95	1087.5	1089.4	
2002-01-24	1089.6	1098.6	1081.7	1085.3	
2002-01-25	1085.85	1089.7	1077.0	1080.1	
2002-01-28	1083.25	1088.75	1068.7	1071.35	
2002-01-29	1071.35	1076.45	1068.85	1071.65	
2002-01-30	1072.85	1072.85	1058.8	1067.45	
2002-01-31	1067.65	1082.0	1067.65	1075.4	
2002-02-01	1076.95	1088.05	1076.95	1081.65	
2002-02-04	1083.05	1086.95	1074.15	1076.9	
2002-02-05	1076.25	1081.2	1069.4	1074.25	
2002-02-06	1074.4	1117.1	1074.0	1113.1	
2002-02-07	1114.85	1130.95	1104.3	1110.45	
2002-02-08	1112.8	1131.85	1104.45	1123.75	
2002-02-11	1124.85	1144.15	1124.85	1131.55	
2002-02-12	1131.95	1143.3	1125.55	1129.5	
2002-02-13	1129.8	1142.3	1129.6	1135.1	
2002-02-14	1135.5	1151.65	1133.85	1150.0	
2002-02-15	1150.65	1164.1	1150.3	1159.95	
2002-02-18	1159.85	1177.05	1156.7	1172.85	
2002-02-19	1172.85	1178.1	1155.1	1158.9	
2002-02-20	1158.45	1158.45	1134.65	1145.95	
2002-02-21	1146.05	1158.05	1146.05	1149.85	
2002-02-22	1149.85	1165.7	1145.5	1163.5	
2002-02-25	1163.65	1167.6	1155.45	1165.45	
2002-02-26	1165.75	1192.65	1165.75	1189.4	
2002-02-27	1190.15	1205.95	1180.0	1189.2	
2002-02-28	1189.6	1197.0	1135.2	1142.05	
2002-03-01	1142.05	1181.25	1135.45	1178.0	
2002-03-04	1178.45	1201.1	1172.3	1177.35	
2002-03-05	1176.4	1193.1	1175.15	1178.5	
2002-03-06	1176.55	1182.65	1162.75	1172.6	
2002-03-07	1173.6	1195.2	1173.6	1193.05	
2002-03-08	1193.6	1199.6	1182.55	1187.65	
2002-03-11	1187.5	1192.75	1164.55	1167.85	
2002-03-12	1167.85	1171.2	1144.3	1150.45	
2002-03-13	1150.2	1165.4	1143.55	1157.05	
2002-03-14	1156.85	1163.65	1153.15	1159.45	
2002-03-15	1159.6	1173.75	1159.6	1169.75	
2002-03-18	1169.95	1184.7	1163.75	1169.3	
2002-03-19	1169.4	1170.8	1150.3	1152.15	
2002-03-20	1152.05	1158.95	1148.5	1155.6	
2002-03-21	1155.55	1155.55	1141.05	1144.2	
2002-03-22	1144.5	1148.65	1135.9	1138.45	
2002-03-26	1138.1	1140.2	1117.85	1123.05	
2002-03-27	1130.0	1134.1	1121.35	1123.35	
2002-03-28	1123.6	1138.45	1123.6	1129.55	
2002-04-01	1129.85	1143.3	1129.85	1138.95	
2002-04-02	1138.8	1147.3	1132.3	1136.95	
