Date,Open,High,Low,Close,Volume
8-Jul-16,51.73,52.36,51.55,52.30,28391026
7-Jul-16,51.42,51.61,51.07,51.38,19585194
6-Jul-16,50.78,51.54,50.39,51.38,28167461
5-Jul-16,50.83,51.28,50.74,51.17,24806351
1-Jul-16,51.13,51.72,51.07,51.16,21400392
30-Jun-16,50.72,51.30,50.50,51.17,28527781
29-Jun-16,49.91,50.72,49.80,50.54,31304021
28-Jun-16,48.92,49.47,48.67,49.44,38140658
27-Jun-16,49.10,49.15,48.04,48.43,50576699
24-Jun-16,49.81,50.94,49.52,49.83,133502985
23-Jun-16,51.28,52.06,51.15,51.91,29028833
22-Jun-16,51.08,51.46,50.95,50.99,28816848
21-Jun-16,50.20,51.43,50.16,51.19,34097825
20-Jun-16,50.64,50.83,50.03,50.07,35607946
17-Jun-16,50.41,50.43,49.82,50.13,45710516
16-Jun-16,49.52,50.47,49.51,50.39,31188605
15-Jun-16,49.78,50.12,49.69,49.69,33757639
14-Jun-16,49.90,50.10,49.57,49.83,42577106
13-Jun-16,49.58,50.72,49.06,50.14,83217844
10-Jun-16,51.05,52.05,51.04,51.48,25833151
9-Jun-16,52.00,52.00,51.49,51.62,20305664
8-Jun-16,52.02,52.44,51.87,52.04,21149438
7-Jun-16,52.24,52.73,52.10,52.10,20866770
6-Jun-16,51.99,52.35,51.89,52.13,18243271
3-Jun-16,52.38,52.42,51.60,51.79,23368291
2-Jun-16,52.64,52.74,51.84,52.48,22840779
1-Jun-16,52.44,52.95,52.44,52.85,25324828
31-May-16,52.26,53.00,52.08,53.00,37653081
27-May-16,51.92,52.32,51.77,52.32,17653660
26-May-16,51.93,51.98,51.36,51.89,24182929
25-May-16,51.92,52.49,51.79,52.12,24040186
24-May-16,50.70,51.71,50.40,51.59,34621638
23-May-16,50.60,50.68,49.98,50.03,25999674
20-May-16,50.48,51.22,50.40,50.62,23692434
19-May-16,50.47,50.62,49.82,50.32,23722753
18-May-16,50.48,51.14,50.30,50.81,24803172
17-May-16,51.72,51.73,50.36,50.51,27766669
16-May-16,50.80,51.96,50.75,51.83,19944632
13-May-16,51.44,51.90,51.04,51.08,22436700
12-May-16,51.20,51.81,50.92,51.51,24099431
11-May-16,51.13,51.78,51.00,51.05,23910684
10-May-16,50.33,51.10,50.19,51.02,22741527
9-May-16,50.49,50.58,50.00,50.07,17844648
6-May-16,49.92,50.39,49.66,50.39,24715575
5-May-16,49.87,50.30,49.73,49.94,25309543
4-May-16,49.84,50.06,49.46,49.87,24171449
3-May-16,50.34,50.41,49.60,49.78,26196074
2-May-16,50.00,50.75,49.78,50.61,33004106
29-Apr-16,49.35,50.25,49.35,49.87,48339735
28-Apr-16,50.62,50.77,49.56,49.90,42758226
27-Apr-16,51.48,51.50,50.55,50.94,43145896
26-Apr-16,52.26,52.35,51.09,51.44,33262278
25-Apr-16,51.78,52.13,51.63,52.11,33106540
22-Apr-16,51.91,52.43,50.77,51.78,125600219
21-Apr-16,55.80,56.23,55.42,55.78,36826521
20-Apr-16,56.29,56.50,55.48,55.59,36014074
19-Apr-16,56.63,56.77,55.68,56.39,29533701
18-Apr-16,55.49,56.59,55.21,56.46,23150318
15-Apr-16,55.30,55.92,55.11,55.65,28377584
14-Apr-16,55.22,55.58,55.07,55.36,20875102
13-Apr-16,55.12,55.44,54.89,55.35,20601278
12-Apr-16,54.37,54.78,53.76,54.65,24574169
11-Apr-16,54.49,55.15,54.30,54.31,21332336
8-Apr-16,54.67,55.28,54.32,54.42,22157037
7-Apr-16,54.87,54.91,54.23,54.46,18584125
6-Apr-16,54.36,55.20,54.21,55.12,21032057
5-Apr-16,55.19,55.30,54.46,54.56,19148783
4-Apr-16,55.43,55.66,55.00,55.43,18832210
1-Apr-16,55.05,55.61,54.57,55.57,24298612
31-Mar-16,54.95,55.59,54.86,55.23,26173764
30-Mar-16,54.93,55.64,54.90,55.05,22920330
29-Mar-16,53.66,54.86,53.45,54.71,23375017
28-Mar-16,54.21,54.29,53.33,53.54,16988240
24-Mar-16,53.84,54.33,53.73,54.21,18842667
23-Mar-16,54.11,54.24,53.74,53.97,19905295
22-Mar-16,53.61,54.25,53.46,54.07,22911577
21-Mar-16,53.25,53.93,52.93,53.86,23807263
18-Mar-16,54.92,54.97,53.44,53.49,67422879
17-Mar-16,54.21,55.00,54.00,54.66,28186465
